Name,Rarity,Type,Properties,Act Area,Location,Description
Ceremonial Battleaxe,Uncommon,Battleaxe,"1h 🔪(1d8 + 1)
2h 🔪(1d10 + 1)",Rosymorn Monastery,Found in the one of the dormitories in the Rosymorn Monastery guarded by a Guardian of Faith.,SPOILER IN NOTE
Ceremonial Mace,Uncommon,Mace,1h 🔨(1d6 + 1),Rosymorn Monastery,Dropped as loot by a random kobald in the Firewine storage room. 🎁,SPOILER IN NOTE
Ceremonial Warhammer,Uncommon,Warhammer,"1h 🔨(1d8 + 1)
2h 🔨(1d10 + 1)",Rosymorn Monastery,Found in the Giant Eagle's nest.,SPOILER IN NOTE
Champion's Chain,Rare,Amulet,,Myconid Colony,Quest Reward by Glut.,Grant an ally a +2 bonus to Intimidation once per Long Rest.
Cinder Shoes,Uncommon,Boots,,Myconid Colony,Sold by Blurg. 💰,"When you Burn an enemy, gain Heat for 2 turns."
Circlet of Blasting,Rare,Helmet,,Myconid Colony,Sold by Blurg. 💰,Cast Scorching Ray once per Long Rest.
Circlet of Psionic Revenge,Rare,Helmet,,Crèche Y'llek,Found inside a chest in Inquisitor's Chamber.,"When you succeed a Saving Throw, the enemy that caused the throw takes 👁️(1d4).
Gain a +1 bonus to Intelligence, Wisdom, and Charisma Saving Throws if you are Githyanki."
Club of Hill Giant Strength,Uncommon,Club,1h 🔨(1d4),Arcane Tower,"Found by breaking the Stool of Hill Giant Strength on the highest floor of Arcane Tower, with Bernard. The stool is underneath the thatched roof section and is knocked over on its side.",Increase Strength to 19.
Corellon's Grace,Uncommon,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Riverside Teahouse,Dropped as loot or Sold by Aunty Ethel. 💰 🎁,"Gain a +1 bonus to Unarmed Attack Rolls and damage.
Gain a +2 bonus to Saving Throws when not wearing armour."
Corrosive Flail,Rare,Flail,1h 🔨(1d8 + 1),Underdark,Sold by Derryth Bonecloak. 💰,Gain Corrosive Strike weapon action.
Creation's Echo,Rare,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Myconid Colony,Sold by Omeluum. 💰,"When you deal Acid, Fire, Lightning, Radiant, or Necrotic damage, gain Resistance to that damage type for 2 turns."
Crossbow of Arcane Force,Uncommon,Heavy Crossbow,2h 🏹(1d10 + 1),Crèche Y'llek,Dropped as loot by Raider G'r'ath. 🎁,Gain Arcane Ammunition weapon action.
Crusher's Ring,Uncommon,Ring,,Goblin Camp,Dropped as loot by Crusher or steal it when he makes you kiss his foot. 🎁,Movement Speed increased by 3m / 10ft.
Daredevil Gloves,Rare,Gloves,,Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,"Gain a +1 bonus to Spell Attack Rolls.
Your Ranged Spell Attacks can be made as melee spell attacks when you are adjacent to a hostile creature."
Dark Justiciar Mail,Uncommon,Medium Armour,🛡️ 13 AC,Grymforge,"Looted from a skeleton north of the Underdark - Grymforge Ancient Rune Circle.

Looted from a skeleton south of the Ancient Forge Ancient Rune Circle.",Deal 💀(1d4) to attackers that hit you with a melee attack while you're obscured by shadow.
Dark Justiciar Mask,Uncommon,Light Helmet,,Grymforge,Looted from a skeleton in Grymforge near the Ancient Forge Waypoint.,Intimidation +1
Deep Delver,Uncommon,War Pick,1h 🏹(1d8),Grymforge,Dropped as loot by Elder Brithvar. 🎁,"Inflicts Shattered on hit. When attacking a Shattered target, deal an additional 🏹(1d4)."
Defender Flail,Rare,Flail,"1h 🔨(1d8 + 1)
🛡️ + 1 AC",Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,"Reduce incoming Bludgeoning, Piercing, and Slashing damage by 1."
Diadem of Arcane Synergy,Rare,Helmet,,Crèche Y'llek,Dropped as loot by Ardent Jhe'rezath. 🎁,"When you inflict a condition, gain Arcane Synergy for 2 turns."
Disintegrating Night Walkers,Very Rare,Boots,,Grymforge,Dropped as loot by Nere. 🎁,"Immune to being Enwebbed, Entangled, or Ensnared and slipping on Grease or Ice.
Cast Misty Step once per Short Rest."
Doom Hammer,Uncommon,Maul,2h 🔨(2d6),Goblin Camp,Sold by Grat the Trader. 💰,Prevents target from regaining Hit Points. Undead creatures also get Disadvantage on Attack Rolls.
Dragon's Grasp,Uncommon,Handaxe,1h 🔪(1d6),Druid Grove,Sold by Arron. 💰,Deals an additional 🔪(1d4) to Burning targets.
"Drow Studded Leather Armour
",Rare,Light Armour,🛡️ 12 AC,The Festering Cove,"Looted from a Heavy Chest at Lolth's Cultist's cache, climbing up a high spot near the entrance of The Festering Cove.",Stealth + 1
Envoy's Amulet,Rare,Amulet,,Myconid Colony,Quest Reward by Spaw.,Grant an ally a +2 bonus to Persuasion Checks once per Long Rest.
Everburn Blade,Uncommon,Greatsword,2h 🔪(2d6) + 🔥(1d4),Nautiloid,Dropped as loot by Commander Zhalk. 🎁,
Explorer's Ring,Uncommon,Ring,,Underdark,Found on a skeleton atop the stones surrounding the Bibberbang field north of the Dread Hollow.,"Nature +1
Survival +1"
Exterminator's Axe,Uncommon,Greataxe,2h 🔪(1d12),Underdark,Dropped as loot by Gekh Coal. 🎁,"Deals an additional 🔥(1d6) to Plants, Insects, and Small creatures."
Faithbreaker,Uncommon,Warhammer,"1h 🔨(1d8 + 1)
2h 🔨(1d10 + 1)",Shattered Sanctum,Dropped as loot by Dror Ragzlin. 🎁,Gain Absolute Power weapon action.
Fetish of Callarduran Smoothhands,Rare,Ring,,Grymforge,Found on one of the dead deep gnomes that a pair of duergar are throwing into the lake.,Cast Invisibility once per Long Rest.
Firestoker,Uncommon,Hand Crossbow,1h 🏹(1d6),Grymforge,Found in an Opulent Chest in Grymforge in the hallway with the Hellsboars.,Deals an additional 🏹(1d4) to Burning targets.
Fleetfingers,Uncommon,Gloves,,Forest,Can be found inside a buried chest.,"When you Dash or take a similar action, you can Jump without using a bonus action."
Gandrel's Aspiration,Uncommon,Heavy Crossbow,2h 🏹(1d10 + 1),Sunlit Wetlands,Dropped as loot by Gandrel. 🎁,Advantage against Monstrosity type enemies.
Giantbreaker,Rare,Heavy Crossbow,2h 🏹(1d10),Zhentarim Hideout,Sold by Brem. Only available after completing Quest by Zarys. 💰,"When you hit, inflict Reeling for 2 turns."
Gloves of Archery,Uncommon,Gloves,,Goblin Camp,Sold by Grat the Trader. 💰,"Deal an additional 🎲(2) damage with ranged weapon attacks.
Proficiency with Longbows and Shortbows."
Gloves of Baneful Striking,Uncommon,Gloves,,Rosymorn Monastery Trail,Sold by Lady Esther. 💰,"When you deal damage with a weapon attack, the target receives a 🎲(1d4) penalty to its Saving Throw against your next spell."
Gloves of Belligerent Skies,Uncommon,Gloves,,Crèche Y'llek,Found inside a locked chest in the Inquisitor's Chamber.,"When you deal Thunder, Lightning, or Radiant damage, inflict Reverberation for 2 turns."
Gloves of Cinder and Sizzle,Rare,Gloves,,Rosymorn Monastery Trail,Sold by Lady Esther. 💰,"Deal an additional 🔥(1d4) with your unarmed attacks.
Cast Scorching Ray once per Long Rest."
Gloves of Dexterity,Very Rare,Gloves,,Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,"Increases Dexterity to 18.
Attack +1"
Gloves of Hail of Thorns,Uncommon,Gloves,,Zhentarim Hideout,Sold by Brem. Only available after completing Quest by Zarys. 💰,Cast Hail of Thorns once per Short Rest
Gloves of Heroism,Uncommon,Gloves,,The Risen Road,Found inside a wooden chest at the back of the hidden room in the cellar of the Toll House.,"When you use your Channel Oath spells, you gain Heroism.
Strength Saving Throws +1"
Gloves of Missile Snaring,Rare,Gloves,,Druid Grove,Sold by Arron. 💰,"As a Reaction, intercept ranged weapon attacks and reduce their damage by 🎲(1d10 + Dexterity Modifier)."
Gloves of Power,Uncommon,Gloves,,Druid Grove,Dropped as loot by Goblin Boss Za'Krug. 🎁,"When you deal damage with a melee attack and bear the Absolute's Brand, the target receives a 🎲(1d4) penalty penalty to their Attack Rolls and Saving Throws.
Sleight of Hand +1"
Gloves of the Growling Underdog,Uncommon,Gloves,,Shattered Sanctum,Found in Dror Ragzlin's treasure pile.,"Advantage on melee attack rolls while surrounded by 2 or more foes.
Strength Saving Throws +1"
Gloves of Thievery,Uncommon,Gloves,,Zhentarim Hideout,Sold by Brem. Only available after completing Quest by Zarys. 💰,Advantage on Sleight of Hand Checks.
Gloves of Uninhibited Kushigo,Rare,Gloves,,Myconid Colony,Quest Reward by Derryth Bonecloak.,Deal an additional 🎲(1d4) with Throw Attacks and attacks made with Improvised Weapons.
Glowing Shield,Uncommon,Shield,🛡️ + 2 AC,Goblin Camp,Found in a locked chest on a ridge behind the Goblin Camp.,Gain ❤️(8) Temporary Hit Points when you're at 50% Hit Points or less once per Short Rest.
Gold Wyrmling Staff,Rare,Quarterstaff,"1h 🔨(1d6 + 1) + 🔥(1d4)
2h 🔨(1d8 + 1) + 🔥(1d4)",Shattered Sanctum,"Sold by main Merchants, item in Merchant Item Pool. 💰",Cast Fire Bolt
Grymskull Helm,Very Rare,Heavy Helmet,,The Adamantine Forge,Dropped as loot by Grym. 🎁,"Attackers can't land Critical Hits on you.
Resistance to Fire damage.
Cast Hunter's Mark once per Long Rest."
Guiding Light,Uncommon,Ring,,Arcane Tower,Dropped as loot by Bernard or given to you as a reward. 🎁,Cast Light
Hamarhraft,Uncommon,Maul,2h 🔨(2d6),Waukeen's Rest,Found in a Gilded Chest in one of the burning rooms on the second story of the inn.,"When the wearer Jumps, they deal ⛈️(1d6) in a 3 m / 10 ft radius upon landing."
Haste Helm,Rare,Helmet,,Blighted Village,Found inside the locked chest near to the Ancient Rune Circle.,"At the start of combat, gain Momentum for 3 turns."
Harold,Rare,Heavy Crossbow,2h 🏹(1d10 + 1),Zhentarim Hideout,Quest Reward by Zarys.,"When you deal damage to a target with a ranged weapon, it must succeed a Charisma Charisma Save or be Baned for 2 turns."
Hedge Wanderer Armour,Uncommon,Medium Armour,"🛡️ 13 AC
",Druid Grove,Sold by Arron. 💰,"Gain a +1 bonus to Dexterity Saving Throws and Dexterity Checks.
Nature +1"
Hellrider's Pride,Uncommon,Medium Gloves,,Druid Grove,Quest Reward by Zevlor.,"When you heal a creature, grant them Blade Ward for 2 turns.
Strength Saving Throws +1"
Helmet of Autonomy,Uncommon,Light Helmet,,The Festering Cove,Found on a skeleton at the entrance to The Festering Cove.,Proficiency in Wisdom Saving Throws.
Helmet of Smiting,Uncommon,Medium Helmet,,Selûnite Outpost,Found inside a locked gilded chest,"Gain ❤️(Charisma modifier) Temporary Hit Points when you inflict a condition with one of your Smite spells.
Constitution Saving Throws +1"
Herbalist's Gloves,Uncommon,Gloves,,Myconid Colony,Sold by Derryth Bonecloak. 💰,"If you heal a Poisoned creature, it is no longer Poisoned."
Hoarfrost Boots,Uncommon,Boots,,Crèche Y'llek,Found inside a cabinet in Inquisitor's Chamber.,You cannot fall Prone while traversing icy terrain.
Holy Lance Helm,Uncommon,Medium Helmet,,Rosymorn Monastery,Found in a chest on the top floor of Rosymorn Monastery.,"When a creature misses an Attack Roll against you, they must succeed a Dexterity Saving Throw or take ☀️(1d4).
Constitution Saving Throws +1"
Hunter's Dagger,Uncommon,Dagger,1h 🏹(1d4 + 1),Shattered Sanctum,Sold by Roah Moonglow. 💰,"On a hit, the target must succeed a Constitution Saving Throw or become Ruptured."
Hunting Shortbow,Uncommon,Shortbow,2h 🏹(1d6 + 1),Druid Grove,Sold by Dammon. 💰,"Advantage against Monstrosity type enemies.
Cast Hunter's Mark once per Long Rest."
Infernal Robe,Very Rare,Clothing,"🛡️ 10 AC
🛡️ + 1 AC",Campsite,Quest Reward by Mizora.,"Cast Fire Shield (Warm) once per Long Rest.
Resistance to Fire damage."
Intransigent Warhammer,Uncommon,Warhammer,"1h 🔨(1d8)
2h 🔨(1d10)",Grymforge,Found inside a Watertight Chest on a Duergar skiff during your first voyage to Grymforge from the Decrepit Village.,Knocks nearby creatures Prone after killing a target or landing a Critical Hit.
Jagged Spear,Uncommon,Spear,"1h 🏹(1d6)
2h 🏹(1d8)",Shattered Sanctum,Found on the ground near Torturer Spike.,"On a hit, the target may receive Disadvantage on Constitution Saving Throws."
Jorgoral's Greatsword,Rare,Greatsword,2h 🔪(2d6 + 1),Grymforge,Dropped as loot by Corsair Greymon. 🎁,Gain Colossal Onslaught weapon action.
Key of the Ancients,Uncommon,Helmet,,Druid Grove,Dropped as loot by Findal or Nettie. 🎁,"While you stand in front of the stone door in Nettie's room in the Druid Grove, you can open a shortcut to the Underground Passage.
Nature +1"
Knife of the Undermountain King,Very Rare,Shortsword,1h 🏹(1d6 + 2),Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,"When you roll 2 damage or less, reroll the dice.
You have Advantage on Attack Rolls against Lightly or Heavily Obscured targets when using this weapon.
You land a Critical Hit when rolling a 19. "
Komira's Locket,Uncommon,Amulet,,Druid Grove,Given to you by Arabella's parents after protecting her from Kagha.,Cast Dancing Lights
Larethian's Wrath,Rare,Longsword,"1h 🔪(1d8 + 1)
2h 🔪(1d10 + 1)",Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,Gain Razor Gale weapon action.
Light of Creation,Uncommon,Halberd,2h 🔪(1d10 + 1) + ⚡(1d6),Arcane Tower,Dropped as loot by Bernard. 🎁,"Chance to Stun the wielder, unless it is a Construct."
Linebreaker Boots,Rare,Boots,,Shattered Sanctum,Dropped as loot by Beastmaster Zurk. 🎁,"When you Dash or take a similar action, gain Wrath for 2 turns."
Loviatar's Scourge,Uncommon,Mace,1h 🔨(1d6) + 💀(1d6),Shattered Sanctum,Dropped as loot by Abdirak. 🎁,"Deals an additional 💀(1d6) to nearby targets, including the wielder.
Resistance to Necrotic damage."
Luminous Armour,Uncommon,Medium Armour,🛡️ 15 AC,Selûnite Outpost,"Found in a locked and trapped Opulent Chest behind a hidden door revealed by a Perception check, or it can be accessed by jumping from the room with the waypoint.","When you deal Radiant damage, you cause a Radiant shockwave that inflicts Radiating Orb in a 3 m / 10 ft radius to enemies for 1 turn."
Mage's Friend,Uncommon,Ring,,Arcane Tower,Found in a chest at the foot of the bed on the 4th floor.,"Arcana +1
Religion +1"
Mask of the Shapeshifter,Legendary,Helmet,,Campsite,"Found in the Traveller's Chest at your Campsite, if you own the Digital Deluxe Upgrade.",Cast Disguise Self
Melf's First Staff,Uncommon,Quarterstaff,"1h 🔨(1d6 + 1)
2h 🔨(1d8 + 1)",Myconid Colony,Sold by Blurg. 💰,"Gain a +1 bonus to Spell Save DC and spell Attack Rolls.
Cast Melf's Acid Arrow once per Long Rest."
Merregon Halberd,Uncommon,Halberd,2h 🔪(1d10 + 1),Grymforge,Dropped as loot by a Merregon Legionnaire. 🎁,
Monster Slayer Glaive,Rare,Glaive,2h 🔪(1d10 + 1),Shattered Sanctum,Sold by Roah Moonglow. 💰,"Deals an additional 🎲(1d4) damage against monstrosity type enemies.
Jump distance is increased by 1.5m / 5ft."
Moondrop Pendant,Uncommon,Amulet,,Owlbear Nest,Found in a Selûnite Gilded Chest. You must read the Selûnite Prayer Sheet in front of the chest to unlock it.,You don't provoke Attacks of Opportunity while you're at 50% Hit Points or less.
Mourning Frost,Very Rare,Quarterstaff,"1h 🔨(1d6 + 1) + ❄️(1d4)
2h 🔨(1d8 + 1) + ❄️(1d4)",Underdark,Created by combining the components carried by the three Drow mages competing to discover the Adamantine Forge.,"Deal an additional ❄️(1) when you deal any cold damage, and possibly inflict Chill.
Cast Ray of Frost"
Mystra's Grace,Uncommon,Boots,,Arcane Tower,Found in the Chest of the Mundane on the northern balcony.,Cast Feather Fall
Nature's Snare,Uncommon,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Druid Grove,Found in a locked chest within the Underground Passage of the Druid Grove.,"On a hit, the target may become Ensnared if it is not a plant or beast."
Necklace of Elemental Augmentation,Uncommon,Amulet,,Crèche Y'llek,Found inside a display case in Inquisitor's chamber.,"When you deal Acid, Cold, Fire, Lightning or Thunder damage with Cantrips, add your Spellcasting Modifier to the damage dealt."
Pale Oak,Rare,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Druid Grove,Quest Reward by Kagha. This reward is exclusive only for Druids.,"Immune to Ensnare by Druidic Vines.
Cast Faithwarden's Vines once per Long Rest."
Pearl of Power Amulet,Uncommon,Amulet,,Myconid Colony,Sold by Omeluum. 💰,"You can replenish expended Spell Slots of your choice once per Long Rest.
Restores a single spell slot of 3rd level or lower."
Periapt of Wound Closure,Rare,Amulet,,Rosymorn Monastery Trail,Sold by Lady Esther. 💰,"When Downed, automatically stabilise at the start of the turn.
When you regain Hit Points, heal for the maximum number."
Phalar Aluve,Rare,Longsword,"1h 🔪(1d8 + 1)
2h 🔪(1d10 + 1)",Underdark,This weapon can be found stabbed into a rock.,"Cast Phalar Aluve: Shriek once per Short Rest.
Cast Phalar Aluve: Sing once per Short Rest.
Performance +1"
Poisoner's Robe,Uncommon,Clothing,🛡️ 10 AC,Whispering Depths,Dropped as loot by Phase Spider Matriarch. 🎁,Deal an additional 🐍(1d4) when casting a spell that deals Poison damage.
Psychic Spark,Uncommon,Amulet,,Myconid Colony,Sold by Blurg. 💰,"Magic Missile shoots an additional missile when cast.
Cast Magic Missile once per Long Rest."
Rain Dancer,Uncommon,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Druid Grove,Sold by Arron. 💰,Cast Create Water once per Short Rest.
Reason's Grasp,Uncommon,Gloves,,The Risen Road,Found in a locked chest in the cave where survivors of the attacked caravan are fending off a pack of gnolls.,Gain ❤️(15) Temporary Hit Points when your Rage ends.
Returning Pike,Uncommon,Pike,2h 🏹(1d10 + 1),Goblin Camp,Sold by Grat the Trader. 💰,This weapon will return to its owner when thrown.
Ring of Absolute Force,Uncommon,Ring,,Grymforge,Dropped as loot by Sergeant Thrinn. 🎁,Cast Thunderwave once per Short Rest 
Ring of Arcane Synergy,Rare,Ring,,Crèche Y'llek,Dropped as loot by Gish Far'Aag. 🎁,"When you deal damage with a Cantrip, gain Arcane Synergy for 2 turns."
Ring of Colour Spray,Uncommon,Ring,,Secluded Cove,Found in the Harpy's' Nest.,Cast Colour Spray once per battle.
Ring of Elemental Infusion,Uncommon,Ring,,Crèche Y'llek,Dropped as loot by Gish Umr'a'ac. 🎁,"When you deal Acid, Cold, Fire, Lightning or Thunder damage with Spells or Cantrips, you deal an additional 🎲(1d4) damage of that element on your next successful weapon attack, lasting until the end of your next turn."
Ring of Evasion,Very Rare,Ring,,Campsite,Given by Tara during the first Long Rest following completion of the Escape the Nautiloid quest (only when playing as the Gale Origin).,"When you fail a Dexterity Saving Throw, you can use your Reaction to succeed instead."
Ring of Flinging,Uncommon,Ring,,Druid Grove,Sold by Arron. 💰,Gain 🎲(1d4) bonus to throw damage.
Ring of Jumping,Uncommon,Ring,,Myconid Colony,Sold by Derryth Bonecloak. 💰,Cast Enhance Leap once per Short Rest. 
Ring of Mind-Shielding,Rare,Ring,,Myconid Colony,Sold by Omeluum or by trading information about the Nautiloid. 💰,Advantage on Saving Throws against being Charmed.
Ring of Poison Resistance,Rare,Ring,,Shattered Sanctum,Found on a skeleton inside a sarcophagus just before the Worg Pens.,Resistance to Poison damage.
Ring of Protection,Rare,Ring,🛡️ + 1 AC,Druid Grove,Quest Reward by Mol.,Saving Throw +1
Ring of Restorative Gravity,Uncommon,Ring,,Myconid Colony,Sold by Omeluum. 💰,"When you heal a creature, they are pulled 2m / 7ft towards you."
Ring of Salving,Uncommon,Ring,,Myconid Colony,Sold by Omeluum. 💰,"When you heal a creature, you regain ❤️(2) Hit Points."
Ritual Axe,Uncommon,Handaxe,1h 🔪(1d6),Shattered Sanctum,Found on the table next to Abdirak.,"On a hit, possibly inflict a 🎲(1d4) penalty to Attack Rolls and Saving Throws on target.
If the attacker still has 25% or more Hit Points, they take 🏹(1d6) themselves."
Ritual Dagger,Uncommon,Dagger,1h 🏹(1d4),Shattered Sanctum,Found on the table next to Abdirak.,"On a hit, receive a 🎲(1d4) bonus to Attack Rolls and Saving Throws until the end of your next turn.
Use a Bonus Action to take 🔪(1d4) and receive a 🎲(1d4) bonus to Attack Rolls and Saving Throws. "
Robe of Summer,Uncommon,Clothing,🛡️ 10 AC,Druid Grove,Found inside a crate sitting in the Hidden Vault within the Druid Grove. You will need the Rune of the Wolf carried by Rath to access the vault.,Resistance to Cold damage.
